0,스릴도있고 반전도 있고 여느 한국영화 쓰레기들하고는 차원이 다르네요~
1,앗 제가 접근권한이 없다고 뜹니다;;
2,주택청약조건 변경해주세요.
3,입사후 처음 대면으로 만나 반가웠습니다.
4,뿌듯뿌듯 하네요!!
5,오마이가뜨지져스크롸이스트휏
6,전 암만 찍어도 까만 하늘.. ㅠㅠ
7,이렇게 귀여운 쥐들은 처음이네요.ㅎㅎㅎ
8,미세먼지 해결이 가장 시급한 문제입니다!
9,크림하우스 환불조치해주세요.
10,그 책부터 언능 꺼내봐야 겠어요!
11,극의전개가너무느릿하여답답합니다
12,오랫만에 존쿠삭의 연기보니 좋네요 Good~~!!
13,글쎄.. 특색도 없고 별로였던 걸로 기억하는데..
14,아래는 게임 내에서 함께 팀을 맺고 캡쳐한 이미지입니다.
15,LG전자 스마트폰 생산 중단 청원
16,환갑이면? ㅎㅎㅎ 이런 재미난 얘기하느라 시간이 금방 가더라고요.
17,최종구 금융위원장을 파면하라!
18,정말 간절히 정부의 도움이 필요합니다.
19,내년 러시아월드컵 자진포기 청원드립니다.
20,앞머리 새로 하셨습니다. ^^
21,김기덕 조재현 성폭행 철저히 수사해주세요!
22,답답할 때 보면 속이 뻥 뚫릴 것 같아요
23,노래와 잘 어우러지는 영상 덕분인지 짧지만 강한 인상이 남네요..
24,군대가기전에 봤었는데 진짜 윈터스같은 사람이 상관이면 목숨걸고 싸워도 후회는 없지 않을까? 라고 생각했던게 기억이 나네요 ㅎㅎ
25,국민청원에 올린글 삭제하는 청와대뉴미디어정책실은 억울한 피해자를 죽이고 경찰에게 증거제출하고 악플러를 살려주기위해 은폐하고있습니다.
26,전두환을 처벌해주세요
27,"마지막으로 리모트 근무의 장점에 대해 이야기했는데, 시간을 효율적으로 사용할 수 있다는 점에 감사하며 다시 한번 리모트 근무의 장점을 느낄 수 있었습니다 ㅎㅎ"
28,겨울산이 예쁘지만 산을 잘 못타서 대리만족 중입니당
29,한사람의 파멸을 적나라하게 드러내 준 영화
30,금융워원회의 공모주 개인 배정 축소(폐지)를 막아주세요
31,지금 아주 만족해요.
32,저도 너무 좋아하는 노래ㅎㅎㅎ
33,잘 만든 영화군요.
34,전설따라 삼천리(삼만리인가?)에 의하면 이 영화가 꽤 괜찮다고 할뿐 아니라 내가 좋아하는 장학우에 장만옥까지~....
35,또 먹어 보고 싶네요.
36,보험이 재산압류를 해서는 안 될 일입니다.
37,엑소엘 전광판사건 공론화
38,아무리그래도 걸어간다는 설정은쫌-_-;
39,휴교령을 내려주세요
40,이런 명작을 왜 이제봤을까..
41,나이가 문제인가요?
42,소년법을 폐지해주시기 바랍니다
43,의료계 환경 개선 및 경찰소방공무원 지원해주세요
44,공무원이 수당을 부정수령하지 않도록 해주세요
45,낮 산책 무조건 추천~!
46,저는 왜 솥에 들어가계시나 했어요 ㅋㅋ
47,동생이랑같이봤는데살인데 그닥무서워하지않고 잘본것같음....
48,알콜중독자가 기초생활수급자?
49,"구의원,시의원 선거.이제 그만 둡시다"
50,아이스하키 단일팀을 이루는 것에 반대합니다.
51,우리 아이들이 안 봤으면 좋겠어요.
52,같이 이야기를 하다보니 시간가는 지 모르고 이야기를 했네요
53,"다만, 관객에 대한 배려가 없다."
54,지금 있는 시설 관리라도 좀 잘 했으면 좋겠습니다
55,근데 멜로연기는 영 ㅋㅋㅋ
56,제일 좋은것같던데..
